10000 29970
88 4309 0.0100299
88 4628 0.0153655
88 6852 0.00864211
88 8358 0.0166765
89 2567 0.0100577
89 6935 0.0196495
89 8769 0.00846133
89 9679 0.00890134
89 9878 0.00345509
90 313 0.0107654
90 2199 0.00981193
90 2589 0.00579518
90 5956 0.0152554
90 8662 0.000284961
91 582 0.00790013
91 1815 0.0153067
91 3670 0.0142471
91 4907 0.0124736
91 5700 0.0129162
91 8729 0.0112238
91 8985 0.00874869
92 1788 0.00258003
92 8799 0.0056356
92 9628 0.00506479
93 1349 0.00400122
93 1452 0.00849259
93 4599 0.0133279
93 4726 0.00386876
93 9135 0.0171663
93 9794 0.0166863
94 656 0.0102072
94 1487 0.0127332
94 2195 0.0171979
94 2872 0.00973465
94 4869 0.00663091
94 6650 0.0188958
94 6728 0.0082751
94 9888 0.0145774
95 426 0.00684456
95 2051 0.0131211
95 2436 0.00698535
95 5782 0.00334712
95 7634 0.00337465
96 299 0.00207326
96 1108 0.0036243
96 8068 0.00513048
97 326 0.00855475
97 894 0.000476118
97 1380 0.0177739
97 1833 0.00885633
98 2004 0.0100606
98 4338 0.00811882
98 6759 0.0133617
98 7464 0.00432683
98 7723 0.0118718
98 7851 0.00349234
99 5072 0.00497852
99 5887 0.00573132
99 7473 0.00790811
99 8572 0.00571129
99 9366 0.00737062
100 1176 0.0160524
100 1446 0.0111661
100 5765 0.00538362
100 6928 0.00771721
100 8191 0.017048
100 9182 0.0144408
101 127 0.00647813
101 1449 0.0146109
101 4451 0.0170194
101 7343 0.0139837
101 8861 0.0162008
102 1345 0.00839048
102 2811 0.0143631
102 3447 0.000595422
102 4654 0.0102947
102 8669 0.0101534
103 5640 0.00374415
103 5890 0.00823831
103 6124 0.0102996
103 6826 0.0118665
104 604 0.01335
104 1020 0.0102626
104 2941 0.0192083
104 3110 0.0178051
104 3151 0.00434634
104 6479 0.0127198
104 7954 0.0146074
105 795 0.0057225
105 1455 0.00728798
105 3426 0.0207074
105 4849 0.00507365
106 4139 0.0144238
106 5828 0.0123965
106 7582 0.0114875
106 9239 0.026977
106 9613 0.0188734
106 9866 0.0256667
107 334 0.00719872
107 1000 0.00586684
107 2047 0.0053853
107 2194 0.0114541
107 5293 0.00402917
107 8660 0.017295
107 9463 0.0227305
108 168 0.00376039
108 859 0.0158346
108 4892 0.0229617
108 5369 0.00454068
108 7233 0.0173019
108 9930 0.0195203
109 1709 0.0082134
109 1872 0.00821467
109 3009 0.00622581
109 9672 0.00224757
110 658 0.00907344
110 715 0.0183777
110 2267 0.0127185
110 4251 0.0117625
110 6162 0.0197711
110 9040 0.0117677
111 1013 0.0316876
111 2420 0.0153041
111 4153 0.0205864
111 6298 0.0108168
111 8021 0.100714
111 9753 0.00918929
112 1320 0.0184532
112 2281 0.0111341
112 4461 0.000669544
112 8274 0.01455
112 9375 0.00617138
113 1078 0.0101057
113 1656 0.0197303
113 3767 0.0201753
113 4278 0.00626117
113 5493 0.0234123
113 6051 0.0103685
113 6113 0.0132342
114 1063 0.00669288
114 2998 0.00867507
114 3924 0.0171346
114 6913 0.0116715
114 8226 0.00683862
115 1630 0.0071341
115 3521 0.00968677
115 3581 0.00224092
115 9687 0.0173555
116 467 0.0149502
116 1400 0.00395378
116 2200 0.0204855
116 3734 0.0201804
116 5001 0.0205495
116 6102 0.0151149
116 9572 0.0183778
116 9690 0.0153957
117 728 0.0127757
117 5261 0.00961937
117 5807 0.00755852
117 6516 0.00890743
117 9225 0.00922189
117 9322 0.0129244
118 963 0.00440994
118 3059 0.0102413
118 4546 0.0165671
118 6893 0.013537
118 8125 0.00642086
118 8558 0.00308995
118 8901 0.0120156
118 9272 0.00988336
119 1462 0.0385603
119 3905 0.0197767
119 4281 0.00897273
119 4648 0.00756307
119 5180 0.0255288
119 6188 0.00713475
119 8792 0.0163528
119 9710 0.0385723
120 1883 0.00750364
120 2615 0.0103509
120 3395 0.00639031
120 4273 0.00791414
120 4757 0.0114813
120 5732 0.0105782
120 6828 0.00689864
120 8329 0.014703
120 9160 0.0112189
121 1396 0.005877
121 3168 0.00441445
121 3889 0.00190869
121 8560 0.0103932
122 2092 0.0166284
122 2594 0.0157635
122 2725 0.0223973
122 3969 0.0190539
122 5440 0.0227024
122 5590 0.015917
122 7784 0.00977226
122 8325 0.0223789
122 9636 0.0022155
123 3317 0.00564188
123 3471 0.00942898
123 5156 0.0248039
123 6768 0.00995379
123 7639 0.0179121
123 8143 0.0143616
124 1624 0.0123455
124 2679 0.00808692
124 8284 0.000858937
124 8895 0.0084727
124 9420 0.00285279
125 1952 0.0107297
125 2238 0.00590647
125 3406 0.00034801
125 7208 0.00837095
126 2451 0.0176992
126 3585 0.0114916
126 4853 0.00408399
126 6604 0.00745243
127 601 0.0119238
127 4451 0.0154491
127 6723 0.0156525
127 8629 0.0139721
128 901 0.00650685
128 1381 0.0108158
128 5774 0.0115723
128 6320 0.0115694
128 6746 0.0122236
128 8117 0.00749782
128 8520 0.011641
128 8681 0.00965043
129 744 0.00648626
129 4356 0.00345303
129 4889 0.0131597
129 9077 0.00298081
129 9243 0.00883615
130 134 0.0108045
130 3307 0.00665197
130 4945 0.0103347
130 5623 0.0136521
130 6261 0.0105166
130 6979 0.00970153
130 7838 0.0126584
131 399 0.0029217
131 671 0.00251712
131 880 0.010782
131 2081 0.017456
131 2709 0.0158125
131 9029 0.0169502
132 2271 0.01083
132 2567 0.00750031
132 2962 0.0170788
132 8769 0.0127319
132 9732 0.0166898
133 257 0.0127291
133 602 0.0172838
133 3049 0.0108216
133 6032 0.0142727
133 7304 0.0040873
133 8674 0.00965848
134 3307 0.0101097
134 6979 0.0096999
134 8150 0.0061672
134 8721 0.00846342
134 9635 0.00503803
135 3290 0.00883566
135 3979 0.0105684
135 7846 0.00888695
135 8973 0.00426037
135 9543 0.0077594
136 1618 0.0167335
136 2684 0.0133786
136 2707 0.0162963
136 3965 0.0151829
136 3992 0.0160293
136 5657 0.0137073
136 6616 0.00937498
136 7204 0.0137257
137 821 0.00539928
137 1226 0.0193978
137 4987 0.0145272
137 6621 0.0196016
137 6920 0.00555411
137 8055 0.0141071
137 9228 0.00212616
138 1807 0.0196093
138 2107 0.00979037
138 2314 0.0124316
138 5649 0.0144065
138 5779 0.0128943
138 6034 0.0152173
138 6076 0.0141719
138 7221 0.0121348
139 4364 0.0140975
139 4678 0.00615875
139 6991 0.0137436
139 8977 0.000990134
140 907 0.00917564
140 1758 0.0113795
140 7965 0.0175583
140 8137 0.0204786
140 8143 0.0145177
140 8932 0.004208
141 603 0.0124194
141 1234 0.0187132
141 6957 0.0115297
141 8407 0.00230435
141 8440 0.0115741
142 889 0.0144331
142 2049 0.011135
142 2457 0.00983002
142 3669 0.0120669
142 5482 0.0123191
142 6164 0.0121382
142 6904 0.0123431
142 7334 0.0100914
142 8390 0.00707186
143 3795 0.0126175
143 5413 0.0044692
143 6813 0.0120938
143 9813 0.00467023
143 9822 0.00821415
144 597 0.0100681
144 4297 0.0199303
144 5961 0.0153664
144 6371 0.0104405
144 6452 0.0156125
144 8296 0.0123957
144 8592 0.0160174
145 330 0.00898446
145 3477 0.00256833
145 5450 0.0039012
145 7302 0.00390297
145 7458 0.00432913
146 1275 0.0180815
146 2289 0.00674677
146 3378 0.0230257
146 4556 0.0111813
146 5598 0.0119501
146 6355 0.0161781
146 8298 0.00862579
147 4231 0.012187
147 4343 0.012263
147 5845 0.013171
147 6049 0.012033
147 6612 0.00802417
147 7566 0.00896699
147 7696 0.0124103
147 9364 0.0105056
148 178 0.00539873
148 517 0.010934
148 5128 0.0048032
148 6237 0.019475
148 8052 0.00472661
149 1352 0.0111114
149 3576 0.00137791
149 4382 0.0159673
149 6860 0.0132345
149 8126 0.0140462
150 771 0.0171682
150 1193 0.0150464
150 3736 0.00780029
150 4561 0.0231827
150 5390 0.00878798
150 7167 0.0106921
150 7779 0.00864324
151 1194 0.0105339
151 4842 0.00521588
151 5025 0.0111888
151 5537 0.00895451
151 6457 0.0177612
151 8208 0.00518184
152 1966 0.00729889
152 2597 0.0123403
152 2992 0.0244041
152 3484 0.0245904
152 3909 0.0196404
152 6766 0.0178855
152 7333 0.0266402
152 8387 0.00825455
152 9435 0.0200503
153 2208 0.0191144
153 3778 0.015352
153 4557 0.0210461
153 6093 0.00203062
153 8061 0.0140275
153 9901 0.0103176
154 1408 0.0284291
154 2261 0.0328259
154 4924 0.00839936
154 7438 0.0163195
154 8412 0.00750055
154 8526 0.00399405
155 451 0.00248519
155 976 0.00321573
155 2448 0.00609396
155 5185 0.0093314
155 5659 0.00660775
156 3357 0.0109631
156 5530 0.00860429
156 7690 0.0129255
156 7692 0.010119
156 8800 0.0139519
156 9191 0.0139214
157 1336 0.0088093
157 1608 0.0214103
157 1834 0.0107957
157 1928 0.0138598
157 3408 0.00607688
157 7651 0.00598106
157 7704 0.00861953
158 3345 0.00252689
158 4358 0.00918403
158 5115 0.0112232
158 7139 0.0184915
158 8235 0.0135499
159 4810 0.00757463
159 6524 0.00464996
159 6956 0.0104789
159 6998 0.00195277
160 2147 0.00818466
160 3156 0.00804179
160 5358 0.0211285
160 5378 0.0131059
160 6750 0.0204209
160 8499 0.0300597
161 3448 0.010562
161 3976 0.0051675
161 5826 0.00358138
161 9025 0.00983464
162 2417 0.00680823
162 5127 0.0202432
162 6262 0.0165203
162 6449 0.0137858
162 6473 0.0188872
162 6774 0.0135888
162 8079 0.00739419
163 2584 0.00864425
163 3961 0.0146138
163 8559 0.00767295
163 8876 0.00347532
163 9505 0.0158449
164 895 0.00580498
164 3986 0.0152888
164 4377 0.00560812
164 8958 0.0144465
165 3333 0.0132278
165 5455 0.00233139
165 5605 0.00418528
165 6412 0.00416207
166 291 0.0169177
166 4000 0.022559
166 5087 0.0128996
166 5718 0.00800741
166 5724 0.00911895
166 7392 0.0218177
166 9639 0.00205605
166 9891 0.00343508
167 804 0.00208953
167 879 0.0101171
167 2439 0.0105126
167 5092 0.00904476
168 859 0.0146521
168 2353 0.00335299
168 5369 0.00765063
168 6921 0.00910481
168 9047 0.00920829
169 2963 0.00916703
169 3276 0.0222919
169 5264 0.0200869
169 5997 0.00719919
169 6247 0.0205209
169 7235 0.0202146
169 7489 0.0176279
169 8154 0.0227943
170 1832 0.00424539
170 4548 0.00470991
170 9013 0.000431548
170 9423 0.00346665
171 808 0.020577
171 1738 0.00871301
171 3560 0.0178161
171 4600 0.0167935
171 5114 0.0190801
171 5209 0.0177706
171 5401 0.0100682
171 6534 0.0168752
171 6784 0.0193552
171 6996 0.0171789
171 8373 0.0131334
172 764 0.0076982
172 3456 0.0119183
172 5908 0.0147645
172 6873 0.0104386
172 8212 0.00855912
173 191 0.0111213
173 3249 0.00807911
173 4349 0.00689036
173 8467 0.00351753
173 9944 0.0153503
174 1086 0.0238871
174 2937 0.0243551
174 2956 0.0126723
174 4226 0.0178979
174 6441 0.0142902
174 7413 0.0188821
174 9266 0.00374471
175 576 0.0140208
175 3279 0.00881067
175 3762 0.00686342
175 5437 0.0152535
176 1949 0.0157804
176 2062 0.0167847
176 3464 0.0115078
176 3506 0.0176373
176 3607 0.0113893
176 4157 0.00940414
176 7091 0.0132663
176 9014 0.0101195
177 1504 0.00897148
177 1935 0.00835628
177 4110 0.00523635
177 4419 0.0208589
177 4747 0.0158045
178 517 0.00689847
178 2153 0.0161671
178 3979 0.0224356
178 6237 0.0211582
178 7846 0.0197111
179 3563 0.00331074
179 5723 0.00381062
179 6040 0.0149012
179 6112 0.00761428
179 7127 0.00466773
180 2693 0.0102765
180 3679 0.00263846
180 7449 0.0173383
180 9652 0.00236608
181 893 0.0140737
181 1667 0.0180092
181 2257 0.027255
181 2700 0.0188332
181 3223 0.0264831
181 3396 0.0155749
181 8919 0.0172607
181 9256 0.0248227
181 9641 0.0281127
181 9721 0.0136933
182 213 0.00738942
182 925 0.0055507
182 2330 0.00878535
182 3824 0.0101267
182 4041 0.0102401
182 8796 0.0112617
183 191 0.00270639
183 1376 0.007961
183 4349 0.00801631
183 4375 0.0101224
183 8971 0.00737489
184 2349 0.0107346
184 4666 0.00623026
184 7872 0.0119759
184 8461 0.00548357
184 9759 0.00460958
185 1696 0.0142786
185 2384 0.0119561
185 2870 0.0111683
185 8008 0.00980656
185 9033 0.030209
186 3753 0.00670209
186 3791 0.0204841
186 6216 0.0214585
186 6533 0.00242363
186 8988 0.0112412
186 9021 0.0162845
186 9343 0.0131278
187 474 0.00867221
187 1724 0.00665087
187 3625 0.022398
187 5006 0.0114047
187 7298 0.0161257
187 8026 0.0225376
188 3129 0.01032
188 4095 0.0222596
188 4280 0.0120549
188 5225 0.0150961
188 6391 0.0102318
188 7034 0.00229568
188 8047 0.0168856
188 8431 0.00586468
189 339 0.00311159
189 3254 0.00425161
189 3479 0.00687363
189 6368 0.00523302
189 7900 0.0159833
189 7996 0.000957676
190 2703 0.00386851
190 4164 0.0106915
190 6932 0.0072921
190 8086 0.0100358
190 8613 0.00535478
191 1376 0.00746266
191 3249 0.0102903
191 4349 0.00832319
192 1286 0.0144604
192 4271 0.0108354
192 4567 0.0149106
192 6527 0.0186414
192 9213 0.0175004
192 9575 0.0111471
192 9862 0.0178886
193 1143 0.00657681
193 3457 0.0058157
193 3482 0.00137186
193 4120 0.0077072
193 8595 0.00431596
194 3451 0.00711966
194 3718 0.013772
194 5239 0.0155999
194 9637 0.00666246
194 9714 0.0039821
195 981 0.00494811
195 2097 0.00449276
195 4993 0.0107457
195 6596 0.0061998
195 9431 0.00789645
196 1575 0.0180497
196 3547 0.0173933
196 3908 0.00313115
196 4124 0.00995422
196 9324 0.00248314
197 340 0.00484317
197 1132 0.00678869
197 3212 0.00492924
197 4590 0.00497044
197 7630 0.00367196
197 8573 0.00464215
198 406 0.014312
198 407 0.00818558
198 3920 0.0229303
198 7820 0.00896073
198 8301 0.00441851
199 227 0.0196336
199 1424 0.0231336
199 3449 0.0165503
199 4691 0.0113047
199 6625 0.00408095
199 9661 0.015315
200 1653 0.00435791
200 1861 0.0062051
200 7309 0.00273958
200 8032 0.00590056
201 1089 0.00242305
201 3131 0.0152139
201 4022 0.00690301
201 4409 0.00798138
201 4886 0.0050721
201 6577 0.0253341
202 1617 0.0115402
202 2759 0.00384891
202 5891 0.00729879
202 7648 0.0117068
202 8870 0.0160781
203 3599 0.00762548
203 3946 0.0220503
203 5756 0.00363996
203 7213 0.00946028
204 3111 0.00721678
204 4364 0.011424
204 5774 0.00961671
204 5957 0.0107872
204 6746 0.0099687
204 8314 0.00248476
205 6767 0.0105134
205 7099 0.00324606
205 7916 0.00457849
206 934 0.00926382
206 1026 0.029246
206 1395 0.0105475
206 3324 0.00610426
206 6645 0.00554224
206 9215 0.0372637
207 2147 0.0222106
207 2418 0.00547811
207 4727 0.0152951
207 6276 0.0188175
207 6911 0.00860399
207 8499 0.00862487
208 665 0.0033739
208 2925 0.00613375
208 2948 0.00636333
208 4801 0.00915819
208 7188 0.00408057
208 7632 0.0101975
208 9626 0.010135
209 492 0.00620046
209 1386 0.00500541
209 8043 0.00912108
209 8066 0.004018
210 1745 0.00961287
210 2952 0.0107134
210 6313 0.00733267
210 7160 0.00632178
210 8349 0.00684279
210 9517 0.0101991
211 924 0.0117016
211 3967 0.00923539
211 4509 0.0180194
211 4631 0.0214443
211 4781 0.0227929
211 6862 0.00510884
211 9219 0.011786
212 285 0.0112733
212 579 0.008167
212 4793 0.0174549
212 8009 0.00491298
212 8500 0.0112153
213 2172 0.0102525
213 4041 0.0102901
213 8452 0.00742253
213 8796 0.0124225
214 2479 0.0023088
214 2805 0.00640571
214 3310 0.012034
214 3420 0.0119835
214 4466 0.0172537
214 6654 0.00521402
214 7045 0.0167855
214 7457 0.0103848
215 1688 0.0145907
215 4100 0.0184212
215 4982 0.00868729
215 6628 0.0157942
215 6749 0.00620436
215 8595 0.00618454
216 1863 0.0149104
216 7794 0.00417293
216 9154 0.00354927
216 9186 0.0109413
217 2157 0.00603243
217 4630 0.00451755
217 7162 0.0103976
217 8133 0.007382
218 2685 0.00864682
218 6796 0.00680156
218 7356 0.00856962
218 8683 0.00562177
218 8798 0.0088274
219 826 0.0256161
219 1927 0.00430562
219 4277 0.00172741
219 4321 0.0225569
219 7315 0.00660853
220 2243 0.0247892
220 3137 0.00196582
